,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
0,5,3.5,2438.7,sqft,5468.3,sqft,98144,754767.6
1,6,3.0,2162.4,sqft,0.3,acre,98106,882395.8
2,5,4.0,1923.2,sqft,3508.1,sqft,98107,906536.3
3,6,5.0,3729.2,sqft,5080.2,sqft,98199,1850627.0
4,3,4.0,1090.3,sqft,0.9,acre,98107,709016.5
5,3,3.0,623.4,sqft,5725.9,sqft,98133,432116.1
6,6,4.5,4293.4,sqft,5756.5,sqft,98105,3087817.6
7,5,3.5,1484.7,sqft,701.8,sqft,98108,557502.3
8,6,3.0,2179.8,sqft,9199.3,sqft,98178,653222.3
9,5,4.0,1219.8,sqft,1250.5,sqft,98103,873158.5
10,5,4.0,1630.0,sqft,3662.4,sqft,98177,994980.6
11,4,3.5,2425.1,sqft,5682.0,sqft,98103,889895.4
12,6,4.0,2475.6,sqft,6027.8,sqft,98115,1485771.9
13,6,2.5,2435.7,sqft,4715.8,sqft,98199,1205503.0
14,5,3.5,2885.1,sqft,3801.4,sqft,98119,1697559.7
15,5,5.5,1934.2,sqft,1531.6,sqft,98117,958735.1
16,4,3.0,1291.0,sqft,1051.4,sqft,98199,834923.9
17,5,4.0,2530.1,sqft,5194.9,sqft,98116,1178944.1
18,4,2.0,760.8,sqft,4837.0,sqft,98133,499012.6
19,5,3.5,1197.6,sqft,8606.2,sqft,98146,606404.8
20,6,4.5,3053.4,sqft,9083.9,sqft,98133,1161072.0
21,4,2.5,805.2,sqft,0.2,acre,98103,651163.2
22,4,3.0,3030.2,sqft,4692.8,sqft,98117,1201429.1
23,6,3.0,1843.0,sqft,7720.9,sqft,98125,859087.9
24,4,3.5,1625.5,sqft,1629.7,sqft,98108,702095.6
25,5,7.5,2777.6,sqft,5076.1,sqft,98126,1439006.7
26,4,4.0,1502.3,sqft,1307.5,sqft,98115,894000.9
27,3,3.0,790.4,sqft,0.3,acre,98119,408998.4
28,5,2.5,1916.2,sqft,7967.3,sqft,98118,468879.4
29,5,4.0,1741.7,sqft,3202.7,sqft,98146,768846.3
30,7,7.0,2316.1,sqft,0.2,acre,98133,955524.1
31,4,4.5,1384.3,sqft,1015.6,sqft,98103,997620.6
32,6,5.0,2824.9,sqft,6084.3,sqft,98133,890487.6
33,4,4.0,2670.3,sqft,5738.5,sqft,98103,878061.6
34,3,3.0,561.7,sqft,0.5,acre,98109,434601.7
35,4,4.0,1197.3,sqft,2947.8,sqft,98112,744967.0
36,4,2.0,1179.4,sqft,4805.5,sqft,98126,689200.8
37,6,3.5,2189.1,sqft,3778.2,sqft,98106,970857.6
38,7,5.5,3502.7,sqft,0.3,acre,98136,2181713.1
39,6,4.5,2341.1,sqft,2693.2,sqft,98115,1473719.7
40,5,5.0,2207.3,sqft,6311.7,sqft,98117,1688588.9
41,3,2.0,657.3,sqft,6901.9,sqft,98177,563684.5
42,4,3.0,2411.6,sqft,5753.5,sqft,98126,791162.9
43,5,3.0,1494.5,sqft,6178.6,sqft,98199,1000102.4
